"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"01.07.2022","visitors","","",0
"01.07.2022","members","Новые подписчики","",1
"16.05.2022","views","","",0
"16.05.2022","visitors","","",0
"16.05.2022","members","Отписавшиеся подписчики","",1
"09.04.2022","views","","",0
"09.04.2022","visitors","","",0
"10.04.2022","members","Отписавшиеся подписчики","",1
"04.04.2022","views","","",0
"04.04.2022","visitors","","",0
"04.04.2022","members","Отписавшиеся подписчики","",1
"25.03.2022","views","","",0
"25.03.2022","visitors","","",0
"26.03.2022","members","Новые подписчики","",1
"24.03.2022","views","","",0
"24.03.2022","visitors","","",0
"24.03.2022","members","Отписавшиеся подписчики","",1
"17.03.2022","views","","",0
"17.03.2022","visitors","","",0
"17.03.2022","members","Новые подписчики","",1
"17.03.2022","members","Отписавшиеся подписчики","",2
"10.03.2022","views","","",0
"10.03.2022","visitors","","",0
"10.03.2022","members","Новые подписчики","",1
"06.03.2022","views","","",0
"06.03.2022","visitors","","",0
"06.03.2022","members","Отписавшиеся подписчики","",1
"18.01.2022","views","","",0
"18.01.2022","visitors","","",0
"18.01.2022","members","Отписавшиеся подписчики","",1
"08.01.2022","views","","",0
"08.01.2022","visitors","","",0
"08.01.2022","members","Отписавшиеся подписчики","",1
"02.01.2022","views","","",0
"02.01.2022","visitors","","",0
"02.01.2022","members","Отписавшиеся подписчики","",2
"01.01.2022","views","","",0
"01.01.2022","visitors","","",0
"02.01.2022","members","Отписавшиеся подписчики","",1
"31.12.2021","views","","",0
"31.12.2021","visitors","","",0
"31.12.2021","members","Отписавшиеся подписчики","",1
"29.12.2021","views","","",0
"29.12.2021","visitors","","",0
"29.12.2021","members","Отписавшиеся подписчики","",1
"24.12.2021","views","","",0
"24.12.2021","visitors","","",0
"24.12.2021","members","Отписавшиеся подписчики","",1
"20.12.2021","views","","",0
"20.12.2021","visitors","","",0
"20.12.2021","members","Отписавшиеся подписчики","",1
"18.12.2021","views","","",0
"18.12.2021","visitors","","",0
"18.12.2021","members","Новые подписчики","",1
"01.12.2021","views","","",0
"01.12.2021","visitors","","",0
"01.12.2021","members","Отписавшиеся подписчики","",1
"21.10.2021","views","","",0
"21.10.2021","visitors","","",0
"21.10.2021","members","Отписавшиеся подписчики","",1
"12.10.2021","views","","",0
"12.10.2021","visitors","","",0
"12.10.2021","members","Новые подписчики","",1
"10.10.2021","views","","",0
"10.10.2021","visitors","","",0
"11.10.2021","feedback","Нравится","",1
"08.10.2021","views","","",0
"08.10.2021","visitors","","",0
"08.10.2021","members","Новые подписчики","",1
"04.10.2021","views","","",0
"04.10.2021","visitors","","",0
"04.10.2021","members","Отписавшиеся подписчики","",1
"02.10.2021","views","","",0
"02.10.2021","visitors","","",0
"02.10.2021","feedback","Нравится","",1
"26.09.2021","views","","",0
"26.09.2021","visitors","","",0
"26.09.2021","members","Отписавшиеся подписчики","",1
"24.09.2021","views","","",0
"24.09.2021","visitors","","",0
"25.09.2021","feedback","Нравится","",3
"23.09.2021","views","","",0
"23.09.2021","visitors","","",0
"23.09.2021","feedback","Нравится","",2
"23.09.2021","members","Новые подписчики","",1
"15.09.2021","views","","",0
"15.09.2021","visitors","","",0
"15.09.2021","feedback","Нравится","",1
"09.09.2021","views","","",0
"09.09.2021","visitors","","",0
"09.09.2021","members","Новые подписчики","",1
"03.09.2021","views","","",0
"03.09.2021","visitors","","",0
"04.09.2021","members","Отписавшиеся подписчики","",1
"02.09.2021","views","","",0
"02.09.2021","visitors","","",0
"02.09.2021","members","Новые подписчики","",2
"01.09.2021","views","","",0
"01.09.2021","visitors","","",0
"01.09.2021","members","Новые подписчики","",1
"30.07.2021","views","","",0
"30.07.2021","visitors","","",0
"30.07.2021","members","Отписавшиеся подписчики","",1
"28.07.2021","views","","",0
"28.07.2021","visitors","","",0
"28.07.2021","members","Новые подписчики","",1
"22.07.2021","views","","",0
"22.07.2021","visitors","","",0
"22.07.2021","members","Новые подписчики","",1
"15.06.2021","views","","",0
"15.06.2021","visitors","","",0
"15.06.2021","feedback","Нравится","",1
"12.06.2021","views","","",0
"12.06.2021","visitors","","",0
"12.06.2021","members","Отписавшиеся подписчики","",1
"11.06.2021","views","","",0
"11.06.2021","visitors","","",0
"11.06.2021","members","Новые подписчики","",1
"08.06.2021","views","","",0
"08.06.2021","visitors","","",0
"08.06.2021","feedback","Нравится","",1
"07.06.2021","views","","",0
"07.06.2021","visitors","","",0
"07.06.2021","members","Отписавшиеся подписчики","",1
"05.06.2021","views","","",0
"05.06.2021","visitors","","",0
"05.06.2021","members","Новые подписчики","",1
"16.05.2021","views","","",0
"16.05.2021","visitors","","",0
"16.05.2021","feedback","Нравится","",1
"29.04.2021","views","","",0
"29.04.2021","visitors","","",0
"29.04.2021","feedback","Нравится","",2
"29.04.2021","members","Новые подписчики","",1
"27.04.2021","views","","",0
"27.04.2021","visitors","","",0
"27.04.2021","members","Отписавшиеся подписчики","",1
"25.04.2021","views","","",0
"25.04.2021","visitors","","",0
"25.04.2021","members","Отписавшиеся подписчики","",1
"13.04.2021","views","","",0
"13.04.2021","visitors","","",0
"13.04.2021","members","Отписавшиеся подписчики","",1
"04.04.2021","views","","",0
"04.04.2021","visitors","","",0
"04.04.2021","members","Новые подписчики","",1
"03.04.2021","views","","",0
"03.04.2021","visitors","","",0
"03.04.2021","members","Отписавшиеся подписчики","",2
"01.04.2021","views","","",0
"01.04.2021","visitors","","",0
"01.04.2021","feedback","Нравится","",1
"31.03.2021","views","","",0
"31.03.2021","visitors","","",0
"31.03.2021","feedback","Нравится","",1
"27.03.2021","views","","",0
"27.03.2021","visitors","","",0
"27.03.2021","members","Отписавшиеся подписчики","",2
"25.03.2021","views","","",0
"25.03.2021","visitors","","",0
"25.03.2021","feedback","Нравится","",3
"21.03.2021","views","","",0
"21.03.2021","visitors","","",0
"21.03.2021","members","Новые подписчики","",1
"21.03.2021","members","Отписавшиеся подписчики","",1
"08.03.2021","views","","",0
"08.03.2021","visitors","","",0
"08.03.2021","members","Отписавшиеся подписчики","",1
"07.03.2021","views","","",0
"07.03.2021","visitors","","",0
"08.03.2021","feedback","Нравится","",1
"04.03.2021","views","","",0
"04.03.2021","visitors","","",0
"04.03.2021","feedback","Нравится","",1
"02.03.2021","views","","",0
"02.03.2021","visitors","","",0
"02.03.2021","members","Отписавшиеся подписчики","",1
"27.02.2021","views","","",0
"27.02.2021","visitors","","",0
"27.02.2021","members","Новые подписчики","",1
"25.02.2021","views","","",0
"25.02.2021","visitors","","",0
"25.02.2021","members","Новые подписчики","",1
"24.02.2021","views","","",0
"24.02.2021","visitors","","",0
"24.02.2021","members","Новые подписчики","",1
"22.02.2021","views","","",0
"22.02.2021","visitors","","",0
"22.02.2021","members","Отписавшиеся подписчики","",1
"18.02.2021","views","","",0
"18.02.2021","visitors","","",0
"19.02.2021","feedback","Нравится","",1
"16.02.2021","views","","",0
"16.02.2021","visitors","","",0
"16.02.2021","members","Новые подписчики","",1
"15.02.2021","views","","",0
"15.02.2021","visitors","","",0
"15.02.2021","members","Новые подписчики","",2
"08.02.2021","views","","",0
"08.02.2021","visitors","","",0
"08.02.2021","members","Отписавшиеся подписчики","",1
"31.01.2021","views","","",0
"31.01.2021","visitors","","",0
"31.01.2021","members","Новые подписчики","",1
"29.01.2021","views","","",0
"29.01.2021","visitors","","",0
"29.01.2021","members","Новые подписчики","",1
"29.01.2021","members","Отписавшиеся подписчики","",1
"24.01.2021","views","","",0
"24.01.2021","visitors","","",0
"24.01.2021","feedback","Нравится","",1
"22.01.2021","views","","",0
"22.01.2021","visitors","","",0
"22.01.2021","members","Новые подписчики","",1
"11.01.2021","views","","",0
"11.01.2021","visitors","","",0
"11.01.2021","members","Отписавшиеся подписчики","",1
"07.01.2021","views","","",0
"07.01.2021","visitors","","",0
"07.01.2021","members","Новые подписчики","",1
"05.01.2021","views","","",0
"05.01.2021","visitors","","",0
"06.01.2021","feedback","Нравится","",3
"04.01.2021","views","","",0
"04.01.2021","visitors","","",0
"04.01.2021","feedback","Нравится","",1
"03.01.2021","views","","",0
"03.01.2021","visitors","","",0
"03.01.2021","feedback","Нравится","",4
"18.12.2020","views","","",0
"18.12.2020","visitors","","",0
"18.12.2020","members","Отписавшиеся подписчики","",1
"14.12.2020","views","","",0
"14.12.2020","visitors","","",0
"14.12.2020","members","Новые подписчики","",1
"12.12.2020","views","","",0
"12.12.2020","visitors","","",0
"12.12.2020","members","Новые подписчики","",1
"11.12.2020","views","","",0
"11.12.2020","visitors","","",0
"11.12.2020","feedback","Нравится","",1
"05.12.2020","views","","",0
"05.12.2020","visitors","","",0
"05.12.2020","feedback","Нравится","",1
"23.11.2020","views","","",0
"23.11.2020","visitors","","",0
